codigo,ayuntamiento,CODPROV,provincia,salario,poblacion,dedicación
9403,Valdeande,9,Burgos,1600,56,sin dedicación
47180,Valdearcos de la Vega,47,Valladolid,1609.5,56,sin dedicación
42191,Valdeavellano de Tera,42,Soria,1610,56,sin dedicación
37330,Valdecarros,37,Salamanca,1614.28,56,sin dedicación
5252,Valdecasa,5,Ávila,1650,56,sin dedicación
49228,Valdefinjas,49,Zamora,1650,56,sin dedicación
24175,Valdefresno,24,León,1670,56,exclusiva
37331,Valdefuentes de Sangusín,37,Salamanca,1676,56,sin dedicación
24176,Valdefuentes del Páramo,24,León,1680,56,sin dedicación
42192,Valdegeña,42,Soria,1700,56,sin dedicación
37332,Valdehijaderos,37,Salamanca,1730,56,sin dedicación
37333,Valdelacasa,37,Salamanca,1739.17,56,sin dedicación
42193,Valdelagua del Cerro,42,Soria,1750,56,sin dedicación
37335,Valdelosa,37,Salamanca,1750,55,sin dedicación
24177,Valdelugueros,24,León,1750,55,parcial
42194,Valdemaluque,42,Soria,1755,55,sin dedicación
37336,Valdemierque,37,Salamanca,1760,55,sin dedicación
24178,Valdemora,24,León,1790.56,55,sin dedicación
42195,Valdenebro,42,Soria,1793.84,55,sin dedicación
34189,Valdeolmillos,34,Palencia,1798.58,55,sin dedicación
24179,Valdepiélago,24,León,1800,55,sin dedicación
24180,Valdepolo,24,León,1833.54,55,sin dedicación
42196,Valdeprado,42,Soria,1884.41,55,sin dedicación
40211,Valdeprados,40,Segovia,1887,55,sin dedicación
24181,Valderas,24,León,1950,55,sin dedicación
34190,Valderrábano,34,Palencia,1983.3,55,sin dedicación
24182,Valderrey,24,León,2000,54,sin dedicación
42197,Valderrodilla,42,Soria,2010,54,sin dedicación
37337,Valderrodrigo,37,Salamanca,2020,54,sin dedicación
24183,Valderrueda,24,León,2031.1,54,sin dedicación
24184,Valdesamario,24,León,2033.98,54,sin dedicación
49229,Valdescorriel,49,Zamora,2038.4,54,sin dedicación
34192,Valde-Ucieza,34,Palencia,2076.67,54,sin dedicación
40213,Valdevacas y Guijar,40,Segovia,2100,54,sin dedicación
24187,Valdevimbre,24,León,2139.86,54,parcial
9405,Valdezate,9,Burgos,2147.22,54,sin dedicación
9406,Valdorros,9,Burgos,2220,54,parcial
37338,Valdunciel,37,Salamanca,2232.42,53,sin dedicación
47183,Valdunquillo,47,Valladolid,2250,53,sin dedicación
37339,Valero,37,Salamanca,2250,53,sin dedicación
47186,VALLADOLID,47,Valladolid,2253.33,53,exclusiva
9408,Vallarta de Bureba,9,Burgos,2286.63,53,sin dedicación
34196,Valle de Cerrato,34,Palencia,2300,53,sin dedicación
9904,Valle de las Navas,9,Burgos,2310.03,53,sin dedicación
9908,Valle de Losa,9,Burgos,2337.2,53,sin dedicación
9409,Valle de Manzanedo,9,Burgos,2340,53,sin dedicación
9410,Valle de Mena,9,Burgos,2400,53,exclusiva
9411,Valle de Oca,9,Burgos,2400,53,sin dedicación
9902,Valle de Santibáñez,9,Burgos,2422.5,52,sin dedicación
9905,Valle de Sedano,9,Burgos,2450,52,sin dedicación
40218,Valle de Tabladillo,40,Segovia,2468.48,52,sin dedicación
9412,Valle de Tobalina,9,Burgos,2475,52,parcial
9413,Valle de Valdebezana,9,Burgos,2496.01,52,sin dedicación
9415,Valle de Valdelucio,9,Burgos,2500,52,sin dedicación
9416,Valle de Zamanzas,9,Burgos,2500,52,sin dedicación
34902,Valle del Retortillo,34,Palencia,2520,52,sin dedicación
24191,Vallecillo,24,León,2525,52,sin dedicación
9417,Vallejera,9,Burgos,2540.65,51,sin dedicación
37343,Vallejera de Riofrío,37,Salamanca,2560,51,sin dedicación
40219,Vallelado,40,Segovia,2600,51,sin dedicación
40220,Valleruela de Pedraza,40,Segovia,2620.08,51,sin dedicación
40221,Valleruela de Sepúlveda,40,Segovia,2628.85,51,sin dedicación
9418,Valles de Palenzuela,9,Burgos,2630,51,sin dedicación
49230,Vallesa de la Guareña,49,Zamora,2640,50,sin dedicación
9419,Valluércanes,9,Burgos,2642.19,50,sin dedicación
47184,Valoria la Buena,47,Valladolid,2642.19,50,sin dedicación
40214,Valseca,40,Segovia,2649.64,50,sin dedicación
42198,Valtajeros,42,Soria,2670,50,sin dedicación
40215,Valtiendas,40,Segovia,2678.14,50,sin dedicación
47185,Valverde de Campos,47,Valladolid,2700,50,sin dedicación
37341,Valverde de Valdelacasa,37,Salamanca,2715.75,50,sin dedicación
40216,Valverde del Majano,40,Segovia,2725.95,50,sin dedicación
24190,Valverde-Enrique,24,León,2730,49,sin dedicación
37342,Valverdón,37,Salamanca,2792,49,sin dedicación
24193,"Vecilla, La",24,León,2800,49,parcial
37344,Vecinos,37,Salamanca,2810,49,sin dedicación
24196,Vega de Espinareda,24,León,2824.55,49,sin dedicación
24197,Vega de Infanzones,24,León,2867.68,49,sin dedicación
47187,Vega de Ruiponce,47,Valladolid,2872.15,49,sin dedicación
5253,Vega de Santa María,5,Ávila,2886.32,49,sin dedicación
37345,Vega de Tirados,37,Salamanca,2970,49,sin dedicación
24198,Vega de Valcarce,24,León,2985.03,48,parcial
49232,Vega de Villalobos,49,Zamora,3040,48,sin dedicación
40222,Veganzones,40,Segovia,3110,48,sin dedicación
24199,Vegaquemada,24,León,3152.76,48,parcial
24201,Vegas del Condado,24,León,3180.68,48,parcial
37346,"Veguillas, Las",37,Salamanca,3180.83,47,sin dedicación
42200,Velamazán,42,Soria,3241.12,47,sin dedicación
47189,Velascálvaro,47,Valladolid,3252.81,47,parcial
5254,Velayos,5,Ávila,3272.05,47,sin dedicación
47190,Velilla,47,Valladolid,3275.1,47,sin dedicación
42201,Velilla de la Sierra,42,Soria,3321.11,47,sin dedicación
